name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
万博苑,3室1厅,770,152平米,高楼层(共23层),1998年建塔楼
教场口9号院,2室1厅,510,75.58平米,中楼层(共21层),1992年建塔楼
白广路6号院,2室1厅,410,63.33平米,低楼层(共14层),1984年建板塔结合
佟麟阁路62号院,2室1厅,741,74.1平米,低楼层(共16层),1988年建塔楼
似海怡家,2室1厅,600,99.33平米,低楼层(共25层),2002年建塔楼
西城晶华,2室2厅,1850,144.64平米,低楼层(共8层),2005年建板塔结合
官苑8号,3室2厅,1800,165平米,低楼层(共16层),2004年建板塔结合
西绒线,4室1厅,798,136.26平米,高楼层(共6层),1998年建板楼
陶然北岸,3室2厅,1000,118平米,低楼层(共18层),2002年建塔楼
报国寺西夹道32号院,2室1厅,376,54.28平米,中楼层(共5层),1984年建板楼
时代之光名苑,2室1厅,550,102平米,中楼层(共16层),2002年建塔楼
青春无限,1室0厅,248,52.59平米,低楼层(共22层),2000年建塔楼
立恒名苑,3室1厅,750,178平米,中楼层(共23层),2002年建塔楼
石灯胡同6号院,3室1厅,780,66.2平米,低楼层(共6层),1980年建板楼
西城晶华,2室1厅,1400,113.63平米,中楼层(共11层),2004年建板塔结合
铁二区,2室1厅,520,70.9平米,中楼层(共12层),1987年建板塔结合
新街口西里三区,3室2厅,1000,143平米,高楼层(共6层),2003年建板楼
荣丰2008,1室1厅,285,32平米,高楼层(共16层),2004年建塔楼
姚家井二巷,2室2厅,645,84.03平米,低楼层(共6层),1990年建板楼
北露园,3室1厅,640,82.6平米,高楼层(共6层),1993年建板楼
马甸南村,2室1厅,550,64平米,低楼层(共20层),1988年建塔楼
椿树园,2室1厅,500,67.44平米,中楼层(共13层),1999年建板塔结合
祥和家苑,2室1厅,550,88平米,低楼层(共24层),2004年建塔楼
扣钟北里,3室1厅,460,69.9平米,低楼层(共20层),1988年建塔楼
人定湖西里,2室1厅,450,57.9平米,高楼层(共6层),1980年建板楼
朗琴园,5室3厅,1200,223.5平米,低楼层(共28层),2002年建塔楼
六铺炕二区,2室1厅,650,72平米,低楼层(共15层),1994年建板塔结合
畅柳园,2室1厅,495,66平米,中楼层(共14层),1998年建板塔结合
三里河东路,3室1厅,700,99.9平米,中楼层(共18层),1995年建塔楼
新风街1号院,3室2厅,915,100.39平米,低楼层(共22层),2000年建塔楼
塔院胡同,4室1厅,580,73.3平米,低楼层(共6层),1980年建板楼
凌云居,4室2厅,850,199平米,高楼层(共22层),2000年建塔楼
恬心家园,2室2厅,600,96.06平米,高楼层(共19层),2000年建板塔结合
茗筑,3室2厅,740,153.35平米,低楼层(共27层),2000年建塔楼
裕中东里,3室1厅,610,77.3平米,高楼层(共6层),1982年建板楼
牛街东里,2室1厅,425,76.71平米,中楼层(共19层),1999年建塔楼
荣丰2008,1室1厅,253,33平米,中楼层(共12层),2003年建板塔结合
新街口西里一区,4室1厅,800,128平米,高楼层(共7层),2002年建板楼
中海凯旋,5室2厅,4000,310平米,高楼层(共8层),2004年建板塔结合
清芷园,3室2厅,1300,175平米,中楼层(共18层),2000年建板塔结合
双旗杆东里,1室1厅,435,51.6平米,高楼层(共18层),1994年建塔楼
丰汇园小区,5室2厅,3916,326.35平米,高楼层(共8层),1999年建板塔结合
西直门南大街,1室1厅,360,43.6平米,中楼层(共16层),1986年建塔楼
德外大街乙12号院,2室1厅,420,60.5平米,高楼层(共6层),1982年建板楼
清芷园,2室2厅,750,90.29平米,高楼层(共18层),2002年建板塔结合
真武庙五里,3室1厅,670,94.3平米,中楼层(共4层),1952年建板楼
椿树馆街35号院,2室1厅,338,58.6平米,低楼层(共6层),1983年建板楼
荣丰2008,1室0厅,220,35.56平米,低楼层(共16层),2004年建塔楼
蝶翠华庭,3室2厅,900,138.42平米,中楼层(共29层),2003年建塔楼
新明胡同,2室1厅,520,67.4平米,高楼层(共18层),1990年建塔楼
